qid,label,description,author,genre,form_of_creative_work,language,country,publication_date,publisher,instance_of,award_received,first_line,last_line,epigraph,genre_from_description,genre_clean,genre_combined,genre_standardized,publication_year,literary_period,country_grouped,text,text_filtered,fiction_type,is_predicted,prediction_confidence
Q47209,Harry Potter and the Chamber of Secrets,1998 novel by J. K. Rowling,Q34660,young adult fiction,novel,British English,United Kingdom,+1998-00-00T00:00:00Z,,literary work,Nestlé Children's Book Prize,"Not for the first time, an argument had broken out over breakfast at number four, Privet drive",And together they walked back through the gateway to the Muggle world.,,,young adult fiction,young adult fiction,other,1998.0,contemporary,United Kingdom,"Harry Potter and the Chamber of Secrets Not for the first time, an argument had broken out over breakfast at number four, Privet drive And together they walked back through the gateway to the Muggle world. 1998 novel by J. K. Rowling","and the of not for the first time , an argument had broken out over breakfast at number , drive and together they walked back through the gateway to the world . novel by",speculative,True,0.6716034678542421
Q129240,His Dark Materials,novel series by Philip Pullman,Philip Pullman,fantasy,novel,English,United Kingdom,+1995-00-00T00:00:00Z,Scholastic Corporation,novel series,,,,,,fantasy,fantasy,speculative,1995.0,contemporary,United Kingdom,His Dark Materials novel series by Philip Pullman,his novel series by,speculative,False,
Q2268391,A Wrinkle in Time,1962 science fantasy novel by Madeleine L'Engle,Madeleine L'Engle,science fiction,novel,English,United States,+1963-01-01T00:00:00Z,"Farrar, Straus and Giroux",literary work,Newbery Medal,,,,fantasy,science fiction,science fiction,speculative,1963.0,postwar,United States,A Wrinkle in Time 1962 science fantasy novel by Madeleine L'Engle,a in science fantasy novel by,speculative,False,
Q191838,The Count of Monte Cristo,novel by Alexandre Dumas,Alexandre Dumas,serialized fiction,novel,French,France,+1844-00-00T00:00:00Z,,literary work,,"Le 24 février 1815, la vigie de Notre-Dame de la Garde signala le trois-mâts le Pharaon, venant de Smyrne, Trieste et Naples.","— Mon ami, dit Valentine, le comte ne vient-il pas de nous dire que l’humaine sagesse était tout entière dans ces deux mots : — Attendre et espérer !",,,serialized fiction,serialized fiction,other,1844.0,victorian,France,"The Count of Monte Cristo Le 24 février 1815, la vigie de Notre-Dame de la Garde signala le trois-mâts le Pharaon, venant de Smyrne, Trieste et Naples. — Mon ami, dit Valentine, le comte ne vient-il pas de nous dire que l’humaine sagesse était tout entière dans ces deux mots : — Attendre et espérer ! novel by Alexandre Dumas","the of février , la vigie de de la signala le trois-mâts le , venant de , et . — ami , dit , le comte ne vient-il pas de nous dire que l humaine sagesse était tout entière dans ces deux mots : — et espérer ! novel by",realistic,True,0.507873665543877
Q74287,The Hobbit,1937 fantasy novel by J. R. R. Tolkien,J. R. R. Tolkien,juvenile fantasy,novel,English,United Kingdom,+1937-09-21T00:00:00Z,,literary work,,In a hole in the ground there lived a hobbit.,"""Thank Goodness!"" said Bilbo laughing, and handed him the tobacco-jar.",,fantasy,juvenile fantasy,juvenile fantasy,speculative,1937.0,modernist,United Kingdom,"The Hobbit In a hole in the ground there lived a hobbit. ""Thank Goodness!"" said Bilbo laughing, and handed him the tobacco-jar. 1937 fantasy novel by J. R. R. Tolkien","the in a hole in the ground there lived a hobbit . `` goodness ! '' said laughing , and handed him the tobacco-jar . fantasy novel by",speculative,False,
Q50188,The Human Comedy,"1822–1848 series of novels, essays and stories by Honoré de Balzac",Honoré de Balzac,,,French,France,+1830-00-00T00:00:00Z,,literary cycle,,,,,,,,,1830.0,romantic,France,"The Human Comedy 1822–1848 series of novels, essays and stories by Honoré de Balzac","the series of novels , essays and stories by de",speculative,True,0.6513276581672203
Q20709044,A Little Life,2015 novel by Hanya Yanagihara,Hanya Yanagihara,LGBT-related literature,novel,English,United States,+2015-00-00T00:00:00Z,,literary work,,,,,,LGBT-related literature,LGBT-related literature,other,2015.0,modern,United States,A Little Life 2015 novel by Hanya Yanagihara,a little life novel by,speculative,True,0.6012335503109082
Q165318,Crime and Punishment,1866 Russian-language novel by Dostoyevsky,Fyodor Dostoyevsky,philosophical fiction,novel,Russian,Russian Empire,+1866-00-00T00:00:00Z,,literary work,,"В начале июля, в чрезвычайно жаркое время, под вечер, один молодой человек вышел из своей каморки, которую нанимал от жильцов в С-м переулке, на улицу и медленно, как бы в нерешимости, отправился к К-ну мосту.","Это могло бы составить тему нового рассказа, — но теперешний рассказ наш окончен.",,,philosophical fiction,philosophical fiction,realistic,1866.0,victorian,other,"Crime and Punishment В начале июля, в чрезвычайно жаркое время, под вечер, один молодой человек вышел из своей каморки, которую нанимал от жильцов в С-м переулке, на улицу и медленно, как бы в нерешимости, отправился к К-ну мосту. Это могло бы составить тему нового рассказа, — но теперешний рассказ наш окончен. 1866 Russian-language novel by Dostoyevsky","crime and , , , , с-м , , , к-ну . это могло , . russian-language novel by",realistic,False,
Q1564644,Foundation series,series of science fiction books by Isaac Asimov,Isaac Asimov,science fiction,,,United States,,Gnome Press,novel series,,,,,science fiction,science fiction,science fiction,speculative,,unknown,United States,Foundation series series of science fiction books by Isaac Asimov,series series of science fiction books by,speculative,False,
Q1439330,Gaunt's Ghosts,"series of Warhammer 40,000 novels by Dan Abnett",Dan Abnett,military science fiction,,English,United Kingdom,,,novel series,,,,,,military science fiction,military science fiction,speculative,,unknown,United Kingdom,"Gaunt's Ghosts series of Warhammer 40,000 novels by Dan Abnett",'s series of novels by,speculative,False,
Q80817,Harry Potter and the Order of the Phoenix,2003 fantasy novel by J. K. Rowling,Q34660,fantasy,novel,British English,United Kingdom,+2003-00-00T00:00:00Z,Bloomsbury Publishing,literary work,ALA Notable Books for Children,"The hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large, square houses of Privet Drive.","Instead, he smiled, raised a hand in farewell, turned around and led the way out of the station towards the sunlit street, with Uncle Vernon, Aunt Petunia and Dudley hurrying along in his wake.",,fantasy,fantasy,fantasy,speculative,2003.0,modern,United Kingdom,"Harry Potter and the Order of the Phoenix The hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large, square houses of Privet Drive. Instead, he smiled, raised a hand in farewell, turned around and led the way out of the station towards the sunlit street, with Uncle Vernon, Aunt Petunia and Dudley hurrying along in his wake. 2003 fantasy novel by J. K. Rowling","and the order of the the hottest day of the summer so far was drawing to a close and a drowsy silence lay over the large , square houses of . instead , he smiled , raised a hand in farewell , turned around and led the way out of the station towards the sunlit street , with , and hurrying along in his wake . fantasy novel by",speculative,False,
Q837934,Flowers for Algernon,"short story by Daniel Keyes, later expanded into a novel",Daniel Keyes,epistolary novel,short story,English,United States,+1959-04-00T00:00:00Z,,literary work,Hugo Award for Best Short Story,,,,,epistolary novel,epistolary novel,realistic,1959.0,postwar,United States,"Flowers for Algernon short story by Daniel Keyes, later expanded into a novel","flowers for short story by , later expanded into a novel",realistic,False,
Q60979203,A Court of Thorns and Roses,novel series by Sarah J. Maas,Sarah J. Maas,romantic fantasy,,English,,,,novel series,,,,,,romantic fantasy,romantic fantasy,speculative,,unknown,unknown,A Court of Thorns and Roses novel series by Sarah J. Maas,a of and novel series by,speculative,False,
Q92640,Alice's Adventures in Wonderland,1865 children's novel by Lewis Carroll,Lewis Carroll,fairy tale,novel,English,United Kingdom,+1865-11-26T00:00:00Z,Macmillan Publishers,literary work,Kate Greenaway Medal,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice, “without pictures or conversations?”","Lastly, she pictured to herself this same little sister of hers would, in the after-time, be herself a grown woman; […] and how she would feel with all their simple sorrows, and find a pleasure in all their simple joys, remembering her own child-life, and the happy summer days.",,,fairy tale,fairy tale,speculative,1865.0,victorian,United Kingdom,"Alice's Adventures in Wonderland Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,” thought Alice, “without pictures or conversations?” Lastly, she pictured to herself this same little sister of hers would, in the after-time, be herself a grown woman; […] and how she would feel with all their simple sorrows, and find a pleasure in all their simple joys, remembering her own child-life, and the happy summer days. 1865 children's novel by Lewis Carroll","'s adventures in was beginning to get very tired of sitting by her sister on the bank , and of having nothing to do : once or twice she had peeped into the book her sister was reading , but it had no pictures or conversations in it , and what is the use of a book , thought , “ without pictures or conversations ? ” lastly , she pictured to herself this same little sister of hers would , in the after-time , be herself a grown woman ; [ … ] and how she would feel with all their simple sorrows , and find a pleasure in all their simple joys , remembering her own child-life , and the happy summer days . children 's novel by",speculative,False,
Q11859,la Mermaid,Lili no me llama que no estoy ocupaoooo,Hans Christian Andersen,literary fairy tale,,Danish,Denmark,+1837-04-07T00:00:00Z,Ignác Leopold Kober,literary work,,"Langt ude i Havet er Vandet saa blaat, som Bladene paa den deiligste Kornblomst og saa klart, som det reneste Glas, men det er meget dybt, dybere end noget Ankertoug naaer, mange Kirketaarne maatte stilles ovenpaa hinanden, for at række fra Bunden op over Vandet.","“Barnet veed ikke, naar vi flyve gjennem Stuen, og maae vi da af Glæde smile over det, da tages et Aar fra de tre hundrede, men see vi et uartigt og ondt Barn, da maae vi græde Sorgens Graad, og hver Taare lægger en Dag til vor Prøvetid!” —",,,literary fairy tale,literary fairy tale,speculative,1837.0,victorian,other,"la Mermaid Langt ude i Havet er Vandet saa blaat, som Bladene paa den deiligste Kornblomst og saa klart, som det reneste Glas, men det er meget dybt, dybere end noget Ankertoug naaer, mange Kirketaarne maatte stilles ovenpaa hinanden, for at række fra Bunden op over Vandet. “Barnet veed ikke, naar vi flyve gjennem Stuen, og maae vi da af Glæde smile over det, da tages et Aar fra de tre hundrede, men see vi et uartigt og ondt Barn, da maae vi græde Sorgens Graad, og hver Taare lægger en Dag til vor Prøvetid!” — Lili no me llama que no estoy ocupaoooo","la ude i er saa blaat , som paa den deiligste og saa klart , som det reneste , men det er meget dybt , dybere end noget naaer , mange maatte stilles ovenpaa hinanden , for at række fra op over . “ veed ikke , naar vi flyve gjennem , og maae vi da af smile over det , da tages et fra de tre hundrede , men see vi et uartigt og ondt , da maae vi græde , og hver lægger en til vor ! ” no me llama que no estoy ocupaoooo",speculative,False,
Q4186785,Sitti Nurbaya,book by Marah Roesli,Marah Roesli,romance,,Indonesian,Indonesia,+1922-00-00T00:00:00Z,Balai Pustaka,written work,,,,,,romance,romance,realistic,1922.0,modernist,Indonesia,Sitti Nurbaya book by Marah Roesli,book by,realistic,False,
Q41542,Dracula,1897 novel by Bram Stoker,Bram Stoker,epistolary novel,novel,English,United Kingdom of Great Britain and Ireland,+1897-05-26T00:00:00Z,,literary work,,"3 May. Bistritz. - Left Munich at 8.35 p.m. on 1st May, arriving at Vienna early next Morning; should have arrived at 6.46, but train was an hour late.","Already he knows her sweetness and loving care; later on he will understand how some men so loved her, that they did dare much for her sake.",,,epistolary novel,epistolary novel,realistic,1897.0,victorian,United Kingdom of Great Britain and Ireland,"Dracula 3 May. Bistritz. - Left Munich at 8.35 p.m. on 1st May, arriving at Vienna early next Morning; should have arrived at 6.46, but train was an hour late. Already he knows her sweetness and loving care; later on he will understand how some men so loved her, that they did dare much for her sake. 1897 novel by Bram Stoker",". . - left at p.m. on , arriving at early next morning ; should have arrived at , but train was an hour late . already he knows her sweetness and loving care ; later on he will understand how some men so loved her , that they did dare much for her sake . novel by",realistic,False,
Q742753,"Bambi, A Life in the Woods",1923 novel by Felix Salten,Felix Salten,fantasy,novel,Austrian German,First Republic of Austria,+1923-00-00T00:00:00Z,,literary work,,,,,,fantasy,fantasy,speculative,1923.0,modernist,other,"Bambi, A Life in the Woods 1923 novel by Felix Salten",", in the novel by",speculative,False,
Q457977,Of Mice and Men,1937 novella by John Steinbeck,John Steinbeck,short novel,novella,English,United States,+1937-00-00T00:00:00Z,Pascal Covici,literary work,,,,,,short novel,short novel,realistic,1937.0,modernist,United States,Of Mice and Men 1937 novella by John Steinbeck,of and novella by,realistic,False,
Q178869,One Hundred Years of Solitude,1967 novel by Gabriel García Márquez,Gabriel García Márquez,magic realism,novel,Spanish,Argentina,+1967-00-00T00:00:00Z,Editorial Sudamericana,literary work,Le Monde's 100 Books of the Century,"Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo.",,,,magic realism,magic realism,speculative,1967.0,postwar,Argentina,"One Hundred Years of Solitude Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo. 1967 novel by Gabriel García Márquez","years of años después , frente al pelotón de fusilamiento , el coronel había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo . novel by",speculative,False,
Q164974,Oliver Twist,1837–1839 novel by Charles Dickens,Charles Dickens,,novel,English,England,+1838-00-00T00:00:00Z,Richard Bentley,literary work,,"Among other public buildings in a certain town, which for many reasons it will be prudent to refrain from mentioning, and to which I will assign no fictitious name, there is one anciently common to most towns, great or small: to wit, a workhouse; and in this workhouse was born; on a day and date which I need not trouble myself to repeat, inasmuch as it can be of no possible consequence to the","But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring.",,,,,,1838.0,victorian,England,"Oliver Twist Among other public buildings in a certain town, which for many reasons it will be prudent to refrain from mentioning, and to which I will assign no fictitious name, there is one anciently common to most towns, great or small: to wit, a workhouse; and in this workhouse was born; on a day and date which I need not trouble myself to repeat, inasmuch as it can be of no possible consequence to the But, if the spirits of the Dead ever come back to earth, to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life, I believe that the shade of Agnes sometimes hovers round that solemn nook. I believe it none the less because that nook is in a Church, and she was weak and erring. 1837–1839 novel by Charles Dickens","among other public buildings in a certain town , which for many reasons it will be prudent to refrain from mentioning , and to which i will assign no fictitious name , there is anciently common to most towns , great or small : to wit , a workhouse ; and in this workhouse was born ; on a day and date which i need not trouble myself to repeat , inasmuch as it can be of no possible consequence to the but , if the spirits of the ever come back to earth , to visit spots hallowed by the love—the love beyond the grave—of those whom they knew in life , i believe that the shade of sometimes hovers round that solemn nook . i believe it none the less because that nook is in a , and she was weak and erring . novel by",speculative,True,0.5091013690002741
Q47598,Harry Potter and the Prisoner of Azkaban,fantasy novel by J. K. Rowling,Q34660,young adult fiction,novel,English,United Kingdom,+1999-07-00T00:00:00Z,Bloomsbury Publishing,literary work,Locus Award for Best Fantasy Novel,Harry Potter was a highly unusual boy in many ways.,"And grinning broadly at the look of horror on Uncle Vernon's face, Harry set off towards the station exit, Hedwig rattling along in front of him, for what looked like a much better summer than the last.",,fantasy,young adult fiction,young adult fiction,other,1999.0,contemporary,United Kingdom,"Harry Potter and the Prisoner of Azkaban Harry Potter was a highly unusual boy in many ways. And grinning broadly at the look of horror on Uncle Vernon's face, Harry set off towards the station exit, Hedwig rattling along in front of him, for what looked like a much better summer than the last. fantasy novel by J. K. Rowling","and the of was a highly unusual boy in many ways . and grinning broadly at the look of horror on 's face , set off towards the station exit , rattling along in front of him , for what looked like a much better summer than the last . fantasy novel by",speculative,True,0.8265235204949222
Q11679,The Hunger Games,pentalogy of books by Suzanne Collins (2008–2025),Suzanne Collins,young adult fiction,,Standard English,,+2008-00-00T00:00:00Z,,novel series,,,,,,young adult fiction,young adult fiction,other,2008.0,modern,unknown,The Hunger Games pentalogy of books by Suzanne Collins (2008–2025),the pentalogy of books by ( ),speculative,True,0.602324950020956
Q1396889,Animal Farm,1945 novella by George Orwell,George Orwell,roman à clef,novella,English,England,+1945-08-17T00:00:00Z,Harvill Secker,literary work,Retro Hugo Award for Best Novella,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes.","The creatures outside looked from pig to man, and from man to pig, and from pig to man again; but already it was impossible to say which was which.",,,roman à clef,roman à clef,other,1945.0,postwar,England,"Animal Farm Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes. The creatures outside looked from pig to man, and from man to pig, and from pig to man again; but already it was impossible to say which was which. 1945 novella by George Orwell",", of the , had locked the hen-houses for the night , but was too drunk to remember to shut the pop-holes . the creatures outside looked from pig to man , and from man to pig , and from pig to man again ; but already it was impossible to say which was which . novella by",realistic,True,0.5186248889635509
Q202009,Fahrenheit 451,1953 novel by Ray Bradbury,Ray Bradbury,science fiction,novel,English,United States,+1953-00-00T00:00:00Z,,literary work,Retro Hugo Award for Best Novel,"It was a pleasure to burn. It was a special pleasure to see things eaten, to see things blackened and changed.","Yes, thought Montag, that’s the one I’ll save for noon. For noon… When we reach the city.","If they give you ruled paper, write the other way.",,science fiction,science fiction,speculative,1953.0,postwar,United States,"Fahrenheit 451 It was a pleasure to burn. It was a special pleasure to see things eaten, to see things blackened and changed. Yes, thought Montag, that’s the one I’ll save for noon. For noon… When we reach the city. If they give you ruled paper, write the other way. 1953 novel by Ray Bradbury","fahrenheit it was a pleasure to burn . it was a special pleasure to see things eaten , to see things blackened and changed . yes , thought , that s the i ’ ll save for noon . for noon… when we reach the city . if they give you ruled paper , write the other way . novel by",speculative,False,
Q183157,The Brothers Karamazov,1879 novel by Fyodor Dostoyevsky,Fyodor Dostoyevsky,serialized fiction,novel,Russian,Russian Empire,+1880-01-01T00:00:00Z,The Russian Messenger,literary work,,"Алексей Федорович Карамазов был третьим сыном помещика нашего уезда Федора Павловича Карамазова, столь известного в свое время (да и теперь еще у нас припоминаемого) по трагической и темной кончине своей, приключившейся ровно тринадцать лет назад и о которой сообщу в своем месте.","— И вечно так, всю жизнь рука в руку! Ура Карамазову! — еще раз восторженно прокричал Коля, и еще раз все мальчики подхватили его восклицание.","Verily, verily, I say unto you, except a corn of wheat fall into the ground and die, it abideth alone: but if it die, it bringeth forth much fruit.",,serialized fiction,serialized fiction,other,1880.0,victorian,other,"The Brothers Karamazov Алексей Федорович Карамазов был третьим сыном помещика нашего уезда Федора Павловича Карамазова, столь известного в свое время (да и теперь еще у нас припоминаемого) по трагической и темной кончине своей, приключившейся ровно тринадцать лет назад и о которой сообщу в своем месте. — И вечно так, всю жизнь рука в руку! Ура Карамазову! — еще раз восторженно прокричал Коля, и еще раз все мальчики подхватили его восклицание. Verily, verily, I say unto you, except a corn of wheat fall into the ground and die, it abideth alone: but if it die, it bringeth forth much fruit. 1879 novel by Fyodor Dostoyevsky","the , ( ) по трагической , . — и , руку ! ура карамазову ! — еще раз , . , verily , i say unto you , except a corn of wheat fall into the ground and die , it abideth alone : but if it die , it bringeth forth much fruit . novel by",speculative,True,0.5374408673970965
Q183883,The Catcher in the Rye,1951 novel by J. D. Salinger,J. D. Salinger,bildungsroman,novel,English,United States,+1951-07-16T00:00:00Z,"Little, Brown and Company",literary work,Le Monde's 100 Books of the Century,,"It’s funny. Don’t ever tell anybody anything. If you do, you start missing everybody.",,,bildungsroman,bildungsroman,realistic,1951.0,postwar,United States,"The Catcher in the Rye It’s funny. Don’t ever tell anybody anything. If you do, you start missing everybody. 1951 novel by J. D. Salinger","the in the it ’ s funny . ’ t ever tell anybody anything . if you do , you start missing everybody . novel by",realistic,False,
Q182502,Angels & Demons,2000 novel by Dan Brown,Dan Brown,thriller,novel,English,England,+2000-00-00T00:00:00Z,,literary work,,,,,,thriller,thriller,realistic,2000.0,modern,England,Angels & Demons 2000 novel by Dan Brown,& novel by,realistic,False,
Q1150792,Looking for Alaska,2005 novel by John Green,John Green,young adult fiction,short story,English,United States,+2005-03-00T00:00:00Z,,literary work,Michael L. Printz Award,,,,,young adult fiction,young adult fiction,other,2005.0,modern,United States,Looking for Alaska 2005 novel by John Green,looking for novel by,speculative,True,0.5242272904369256
Q492207,Starship Troopers,1959 military science fiction novel by Robert A. Heinlein,Robert A. Heinlein,military science fiction,novel,English,United States,+1959-11-05T00:00:00Z,G. P. Putnam's Sons,literary work,Hugo Award for Best Novel,,,,science fiction,military science fiction,military science fiction,speculative,1959.0,postwar,United States,Starship Troopers 1959 military science fiction novel by Robert A. Heinlein,starship troopers military science fiction novel by,speculative,False,
Q333179,Persuasion,1817 novel by Jane Austen,Jane Austen,romantic fiction,novel,English,England,+1817-00-00T00:00:00Z,John Murray,literary work,,"Sir Walter Elliot, of Kellynch-hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents;","She gloried in being a sailor’s wife, but she must pay the tax of quick alarm for belonging to that profession which is, if possible, more distinguished in its domestic virtues than in its national importance.",,,romantic fiction,romantic fiction,realistic,1817.0,romantic,England,"Persuasion Sir Walter Elliot, of Kellynch-hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents; She gloried in being a sailor’s wife, but she must pay the tax of quick alarm for belonging to that profession which is, if possible, more distinguished in its domestic virtues than in its national importance. 1817 novel by Jane Austen","persuasion , of , in , was a man who , for his own amusement , never took up any book but the ; there he found occupation for an idle hour , and consolation in a distressed ; there his faculties were roused into admiration and respect , by contemplating the limited remnant of the earliest patents ; she gloried in being a sailor ’ s wife , but she must pay the tax of quick alarm for belonging to that profession which is , if possible , more distinguished in its domestic virtues than in its national importance . novel by",realistic,False,
Q114732705,The Seven Moons of Maali Almeida,2022 novel by Shehan Karunatilaka,Shehan Karunatilaka,,novel,,,+2022-08-04T00:00:00Z,,literary work,Booker Prize,,,,,,,,2022.0,modern,unknown,The Seven Moons of Maali Almeida 2022 novel by Shehan Karunatilaka,the of novel by,,False,
Q27863,Sword Art Online,Japanese light novel series,Reki Kawahara,cyberpunk,,Japanese,Japan,+2009-04-10T00:00:00Z,Dengeki Bunko,light novel series,,,,,,cyberpunk,cyberpunk,speculative,2009.0,modern,Japan,Sword Art Online Japanese light novel series,light novel series,speculative,False,
Q81689,The Da Vinci Code,2003 novel by Dan Brown,Dan Brown,conspiracy fiction,novel,English,United States,+2003-04-01T00:00:00Z,Doubleday,literary work,,,,,,conspiracy fiction,conspiracy fiction,realistic,2003.0,modern,United States,The Da Vinci Code 2003 novel by Dan Brown,the novel by,realistic,False,
Q3761739,Battle Royale,1999 novel by Koushun Takami,Koushun Takami,dystopian literature,novel,Japanese,Japan,+1999-04-00T00:00:00Z,Ohta Publishing,literary work,,,,,,dystopian literature,dystopian literature,speculative,1999.0,contemporary,Japan,Battle Royale 1999 novel by Koushun Takami,novel by,speculative,False,
Q1771810,A Wizard of Earthsea,1968 novel by Ursula K. Le Guin,Ursula K. Le Guin,fantasy,novel,English,United States,+1968-00-00T00:00:00Z,Kinneret Zmora-Bitan Dvir,literary work,Boston Globe–Horn Book Award,,,"Only in silence the word, Only in dark the light, Only in dying life: Bright the hawk's flight On the empty sky.",,fantasy,fantasy,speculative,1968.0,postwar,United States,"A Wizard of Earthsea Only in silence the word, Only in dark the light, Only in dying life: Bright the hawk's flight On the empty sky. 1968 novel by Ursula K. Le Guin","a of in silence the word , only in dark the light , only in dying life : the hawk 's flight on the empty sky . novel by",speculative,False,
Q212340,To Kill a Mockingbird,novel by Harper Lee,Harper Lee,bildungsroman,novel,American English,United States,+1960-07-11T00:00:00Z,Lippincott,literary work,Pulitzer Prize for Fiction,"When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow.",,"Lawyers, I suppose, were children once.",,bildungsroman,bildungsroman,realistic,1960.0,postwar,United States,"To Kill a Mockingbird When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. Lawyers, I suppose, were children once. novel by Harper Lee","to kill a mockingbird when he was nearly thirteen , my brother got his arm badly broken at the elbow . lawyers , i suppose , were children once . novel by",realistic,False,
Q79762,The Silmarillion,collection of myths and stories written by J. R. R. Tolkien,J. R. R. Tolkien,fantasy,collection of literary works,English,United Kingdom,+1977-09-15T00:00:00Z,,literary work,Locus Award for Best Fantasy Novel,"There was Eru, the One, who in Arda is called Ilúvatar; and he made first the Ainur, the Holy Ones, that were the offspring of his thought, and they were with him before aught else was made.","In the twilight of autumn it sailed out of Mithlond, until the seas of the Bent World fell away beneath it, and the winds of the round sky troubled it no more, and borne upon the high airs above the mists of the world it passed into the Ancient West, and an end was come for the Eldar of story and of song.",,,fantasy,fantasy,speculative,1977.0,contemporary,United Kingdom,"The Silmarillion There was Eru, the One, who in Arda is called Ilúvatar; and he made first the Ainur, the Holy Ones, that were the offspring of his thought, and they were with him before aught else was made. In the twilight of autumn it sailed out of Mithlond, until the seas of the Bent World fell away beneath it, and the winds of the round sky troubled it no more, and borne upon the high airs above the mists of the world it passed into the Ancient West, and an end was come for the Eldar of story and of song. collection of myths and stories written by J. R. R. Tolkien","the there was , the , who in is called ; and he made first the , the , that were the offspring of his thought , and they were with him before aught else was made . in the twilight of autumn it sailed out of , until the seas of the fell away beneath it , and the winds of the round sky troubled it no more , and borne upon the high airs above the mists of the world it passed into the , and an end was come for the of story and of song . collection of myths and stories written by",speculative,False,
Q3163506,I Know Why the Caged Bird Sings,1969 autobiography about the early years of African-American writer and poet Maya Angelou,Maya Angelou,autobiography,,English,United States,+1969-00-00T00:00:00Z,Random House,written work,,,,,,autobiography,autobiography,realistic,1969.0,postwar,United States,I Know Why the Caged Bird Sings 1969 autobiography about the early years of African-American writer and poet Maya Angelou,i know why the autobiography about the early years of african-american writer and poet,realistic,False,
Q1134354,The Famous Five,series of children's novels written by Enid Blyton,Enid Blyton,children's and youth literature,,British English,,+1942-00-00T00:00:00Z,Hodder & Stoughton,novel sequence,,,,,,children's and youth literature,children's and youth literature,other,1942.0,modernist,unknown,The Famous Five series of children's novels written by Enid Blyton,the series of children 's novels written by,speculative,True,0.655724856361612
Q860633,A Thousand Splendid Suns,2007 novel by Khalid Hosseini,Khaled Hosseini,,novel,English,United States,+2007-05-22T00:00:00Z,Riverhead Books,literary work,,,,,,,,,2007.0,modern,United States,A Thousand Splendid Suns 2007 novel by Khalid Hosseini,a novel by,,False,
Q44523,Twilight,series of vampire romance novels by Stephenie Meyer,Stephenie Meyer,romantic fiction,,English,United States,+2005-00-00T00:00:00Z,,novel series,,,,,romance,romantic fiction,romantic fiction,realistic,2005.0,modern,United States,Twilight series of vampire romance novels by Stephenie Meyer,series of vampire romance novels by,realistic,False,
Q214132,And Then There Were None,1939 novel by Agatha Christie,Agatha Christie,crime fiction,novel,English,England,+1939-00-00T00:00:00Z,,literary work,,,,,,crime fiction,crime fiction,realistic,1939.0,modernist,England,And Then There Were None 1939 novel by Agatha Christie,and then there none novel by,realistic,False,
Q1219561,Around the World in Eighty Days,novel by Jules Verne,Jules Verne,serialized fiction,novel,French,France,+1872-00-00T00:00:00Z,,literary work,,"En l'année 1872, la maison portant le numéro 7 de Saville-row, Burlington Gardens—maison dans laquelle Sheridan mourut en 1814—, était habitée par Phileas Fogg, esq., l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres, bien qu'il semblât prendre à tâche de ne rien faire qui pût attirer l'attention.","En vérité, ne ferait-on pas, pour moins que cela, le Tour du Monde?",,,serialized fiction,serialized fiction,other,1872.0,victorian,France,"Around the World in Eighty Days En l'année 1872, la maison portant le numéro 7 de Saville-row, Burlington Gardens—maison dans laquelle Sheridan mourut en 1814—, était habitée par Phileas Fogg, esq., l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres, bien qu'il semblât prendre à tâche de ne rien faire qui pût attirer l'attention. En vérité, ne ferait-on pas, pour moins que cela, le Tour du Monde? novel by Jules Verne","around the in l'année , la maison portant le numéro de , dans laquelle mourut en , habitée par , esq. , l'un des membres les plus singuliers et les plus remarqués du de , bien qu'il semblât prendre tâche de ne rien faire qui pût attirer l'attention . vérité , ne ferait-on pas , pour moins que cela , le du ? novel by",realistic,True,0.5043977243712312
